Date,MCAP_22_Index
2000-09-06,1.3876942586846785
2000-09-07,1.392786376551207
2000-09-08,1.3609563088977938
2000-09-11,1.3524490945148184
2000-09-12,1.3649634167248221
2000-09-13,1.3425381652577766
2000-09-14,1.3785204854351663
2000-09-15,1.3521333866301877
2000-09-18,1.3415349980728266
2000-09-19,1.3636585317470336
2000-09-20,1.3500849403344946
2000-09-21,1.3191279267611553
2000-09-22,1.321527087376777
2000-09-25,1.346203165432784
2000-09-26,1.3122152555215263
2000-09-27,1.3096776784688
2000-09-28,1.2938316601710174
2000-09-29,1.2819198267161154
2000-10-02,1.2922647625376813
2000-10-03,1.3037678435578761
2000-10-04,1.2974185853768097
2000-10-05,1.313008992532154
2000-10-06,1.3105981806553055
2000-10-09,1.2728679552972073
2000-10-10,1.2820083744099149
